id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
74,32,JAWA BARAT,3279,KOTA BANJAR,1067.0,EKOR,2015
75,32,JAWA BARAT,3275,KOTA BEKASI,4325.0,EKOR,2015
76,32,JAWA BARAT,3271,KOTA BOGOR,183.0,EKOR,2015
77,32,JAWA BARAT,3277,KOTA CIMAHI,109.0,EKOR,2015
78,32,JAWA BARAT,3274,KOTA CIREBON,279.0,EKOR,2015
79,32,JAWA BARAT,3276,KOTA DEPOK,2335.0,EKOR,2015
80,32,JAWA BARAT,3272,KOTA SUKABUMI,688.0,EKOR,2015
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2593.0,EKOR,2015
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,28366.0,EKOR,2016
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6572.0,EKOR,2016
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,20990.0,EKOR,2016
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,41000.0,EKOR,2016
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9897.0,EKOR,2016
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,37573.0,EKOR,2016
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,3748.0,EKOR,2016
89,32,JAWA BARAT,3205,KABUPATEN GARUT,30705.0,EKOR,2016
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11538.0,EKOR,2016
91,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5703.0,EKOR,2016
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,28478.0,EKOR,2016
93,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13851.0,EKOR,2016
94,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,15376.0,EKOR,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11728.0,EKOR,2016
96,32,JAWA BARAT,3213,KABUPATEN SUBANG,33232.0,EKOR,2016
97,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,18305.0,EKOR,2016
98,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,28735.0,EKOR,2016
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,53801.0,EKOR,2016
100,32,JAWA BARAT,3273,KOTA BANDUNG,1670.0,EKOR,2016
101,32,JAWA BARAT,3279,KOTA BANJAR,1090.0,EKOR,2016
102,32,JAWA BARAT,3275,KOTA BEKASI,4575.0,EKOR,2016
103,32,JAWA BARAT,3271,KOTA BOGOR,206.0,EKOR,2016
104,32,JAWA BARAT,3277,KOTA CIMAHI,125.0,EKOR,2016
105,32,JAWA BARAT,3274,KOTA CIREBON,276.0,EKOR,2016
106,32,JAWA BARAT,3276,KOTA DEPOK,2447.0,EKOR,2016
107,32,JAWA BARAT,3272,KOTA SUKABUMI,643.0,EKOR,2016
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2742.0,EKOR,2016
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,28528.0,EKOR,2017
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6597.0,EKOR,2017
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,21305.0,EKOR,2017
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,24803.0,EKOR,2017
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9998.0,EKOR,2017
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38374.0,EKOR,2017
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,3926.0,EKOR,2017
116,32,JAWA BARAT,3205,KABUPATEN GARUT,31316.0,EKOR,2017
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11895.0,EKOR,2017
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6273.0,EKOR,2017
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,28480.0,EKOR,2017
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13895.0,EKOR,2017
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16586.0,EKOR,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15282.0,EKOR,2017
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,32049.0,EKOR,2017
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,18502.0,EKOR,2017
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,29592.0,EKOR,2017
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,54178.0,EKOR,2017
127,32,JAWA BARAT,3273,KOTA BANDUNG,1640.0,EKOR,2017
128,32,JAWA BARAT,3279,KOTA BANJAR,1100.0,EKOR,2017
129,32,JAWA BARAT,3275,KOTA BEKASI,4417.0,EKOR,2017
130,32,JAWA BARAT,3271,KOTA BOGOR,196.0,EKOR,2017
131,32,JAWA BARAT,3277,KOTA CIMAHI,208.0,EKOR,2017
132,32,JAWA BARAT,3274,KOTA CIREBON,294.0,EKOR,2017
133,32,JAWA BARAT,3276,KOTA DEPOK,2496.0,EKOR,2017
134,32,JAWA BARAT,3272,KOTA SUKABUMI,613.0,EKOR,2017
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2791.0,EKOR,2017
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,27102.0,EKOR,2018
137,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6511.0,EKOR,2018
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,21518.0,EKOR,2018
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,18853.0,EKOR,2018
140,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10104.0,EKOR,2018
141,32,JAWA BARAT,3203,KABUPATEN CIANJUR,39902.0,EKOR,2018
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,4277.0,EKOR,2018
143,32,JAWA BARAT,3205,KABUPATEN GARUT,31863.0,EKOR,2018
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12452.0,EKOR,2018
145,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6399.0,EKOR,2018
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,28514.0,EKOR,2018
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,14418.0,EKOR,2018
148,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,17386.0,EKOR,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15634.0,EKOR,2018
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,33234.0,EKOR,2018
