id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,423,EKOR,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,24,EKOR,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,539,EKOR,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,213,EKOR,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,752,EKOR,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1992,EKOR,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,2895,EKOR,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,330,EKOR,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,97,EKOR,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,307,EKOR,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,104,EKOR,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,367,EKOR,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,418,EKOR,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,14,EKOR,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,303,EKOR,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,119,EKOR,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9,EKOR,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,73,EKOR,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3426,EKOR,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,151,EKOR,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,67,EKOR,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,60,EKOR,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,166,EKOR,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,0,EKOR,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,58,EKOR,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,60,EKOR,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,626,EKOR,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,435,EKOR,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,16,EKOR,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,632,EKOR,2017
