id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
79,32,JAWA BARAT,3276,KOTA DEPOK,130,EKOR,2015
80,32,JAWA BARAT,3272,KOTA SUKABUMI,30,EKOR,2015
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,637,EKOR,2015
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3664,EKOR,2016
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3671,EKOR,2016
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,594,EKOR,2016
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,17665,EKOR,2016
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2795,EKOR,2016
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8321,EKOR,2016
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,3907,EKOR,2016
89,32,JAWA BARAT,3205,KABUPATEN GARUT,10217,EKOR,2016
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1185,EKOR,2016
91,32,JAWA BARAT,3215,KABUPATEN KARAWANG,648,EKOR,2016
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7168,EKOR,2016
93,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1881,EKOR,2016
94,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1018,EKOR,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12353,EKOR,2016
96,32,JAWA BARAT,3213,KABUPATEN SUBANG,2940,EKOR,2016
97,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8148,EKOR,2016
98,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3655,EKOR,2016
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11349,EKOR,2016
100,32,JAWA BARAT,3273,KOTA BANDUNG,120,EKOR,2016
101,32,JAWA BARAT,3279,KOTA BANJAR,155,EKOR,2016
102,32,JAWA BARAT,3275,KOTA BEKASI,97,EKOR,2016
103,32,JAWA BARAT,3271,KOTA BOGOR,156,EKOR,2016
104,32,JAWA BARAT,3277,KOTA CIMAHI,21,EKOR,2016
105,32,JAWA BARAT,3274,KOTA CIREBON,33,EKOR,2016
106,32,JAWA BARAT,3276,KOTA DEPOK,111,EKOR,2016
107,32,JAWA BARAT,3272,KOTA SUKABUMI,20,EKOR,2016
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,679,EKOR,2016
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3726,EKOR,2017
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3741,EKOR,2017
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,600,EKOR,2017
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,17013,EKOR,2017
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2823,EKOR,2017
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8016,EKOR,2017
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,3808,EKOR,2017
116,32,JAWA BARAT,3205,KABUPATEN GARUT,11743,EKOR,2017
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1112,EKOR,2017
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,713,EKOR,2017
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7189,EKOR,2017
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1896,EKOR,2017
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1009,EKOR,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13449,EKOR,2017
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,2137,EKOR,2017
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8260,EKOR,2017
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2977,EKOR,2017
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11197,EKOR,2017
127,32,JAWA BARAT,3273,KOTA BANDUNG,122,EKOR,2017
128,32,JAWA BARAT,3279,KOTA BANJAR,125,EKOR,2017
129,32,JAWA BARAT,3275,KOTA BEKASI,66,EKOR,2017
130,32,JAWA BARAT,3271,KOTA BOGOR,152,EKOR,2017
131,32,JAWA BARAT,3277,KOTA CIMAHI,12,EKOR,2017
132,32,JAWA BARAT,3274,KOTA CIREBON,35,EKOR,2017
133,32,JAWA BARAT,3276,KOTA DEPOK,113,EKOR,2017
134,32,JAWA BARAT,3272,KOTA SUKABUMI,26,EKOR,2017
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,683,EKOR,2017
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1646,EKOR,2018
137,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1458,EKOR,2018
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,258,EKOR,2018
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,6864,EKOR,2018
140,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1214,EKOR,2018
141,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3447,EKOR,2018
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,1497,EKOR,2018
143,32,JAWA BARAT,3205,KABUPATEN GARUT,5275,EKOR,2018
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,498,EKOR,2018
145,32,JAWA BARAT,3215,KABUPATEN KARAWANG,306,EKOR,2018
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2990,EKOR,2018
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,808,EKOR,2018
148,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,190,EKOR,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5931,EKOR,2018
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,754,EKOR,2018
151,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3549,EKOR,2018
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1049,EKOR,2018
153,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4587,EKOR,2018
154,32,JAWA BARAT,3273,KOTA BANDUNG,4,EKOR,2018
155,32,JAWA BARAT,3279,KOTA BANJAR,54,EKOR,2018
156,32,JAWA BARAT,3275,KOTA BEKASI,29,EKOR,2018
157,32,JAWA BARAT,3271,KOTA BOGOR,67,EKOR,2018
158,32,JAWA BARAT,3277,KOTA CIMAHI,6,EKOR,2018
159,32,JAWA BARAT,3274,KOTA CIREBON,15,EKOR,2018
160,32,JAWA BARAT,3276,KOTA DEPOK,47,EKOR,2018
161,32,JAWA BARAT,3272,KOTA SUKABUMI,15,EKOR,2018
162,32,JAWA BARAT,3278,KOTA TASIKMALAYA,292,EKOR,2018
163,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3483,EKOR,2019
164,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1483,EKOR,2019
165,32,JAWA BARAT,3216,KABUPATEN BEKASI,613,EKOR,2019
166,32,JAWA BARAT,3201,KABUPATEN BOGOR,15984,EKOR,2019
167,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2883,EKOR,2019
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7507,EKOR,2019
169,32,JAWA BARAT,3209,KABUPATEN CIREBON,3352,EKOR,2019
170,32,JAWA BARAT,3205,KABUPATEN GARUT,11833,EKOR,2019
171,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,407,EKOR,2019
172,32,JAWA BARAT,3215,KABUPATEN KARAWANG,334,EKOR,2019
173,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4327,EKOR,2019
174,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,818,EKOR,2019
175,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,372,EKOR,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14061,EKOR,2019
177,32,JAWA BARAT,3213,KABUPATEN SUBANG,2009,EKOR,2019
178,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8423,EKOR,2019
179,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2349,EKOR,2019
180,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4499,EKOR,2019
181,32,JAWA BARAT,3273,KOTA BANDUNG,4,EKOR,2019
182,32,JAWA BARAT,3279,KOTA BANJAR,46,EKOR,2019
183,32,JAWA BARAT,3275,KOTA BEKASI,66,EKOR,2019
184,32,JAWA BARAT,3271,KOTA BOGOR,159,EKOR,2019
185,32,JAWA BARAT,3277,KOTA CIMAHI,5,EKOR,2019
186,32,JAWA BARAT,3274,KOTA CIREBON,2,EKOR,2019
187,32,JAWA BARAT,3276,KOTA DEPOK,100,EKOR,2019
188,32,JAWA BARAT,3272,KOTA SUKABUMI,31,EKOR,2019
189,32,JAWA BARAT,3278,KOTA TASIKMALAYA,255,EKOR,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,16081,EKOR,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8401,EKOR,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7603,EKOR,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3148,EKOR,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,7247,EKOR,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4375,EKOR,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2854,EKOR,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4543,EKOR,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,3272,EKOR,2020
